# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Full Version
# File: C:\chenyu\RTL_work\RTL_work\UltraSound\atom_netlists\UltraSoundF.csv
# Generated on: Fri Sep 13 13:20:49 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
AD_CLK_OUT,Output,PIN_D23,7,B7_N0,3.3-V LVCMOS,,,,
AD_MODE,Output,,,,,,,,
AD_PCM_IN[31],Input,,,,,,,,
AD_PCM_IN[30],Input,,,,,,,,
AD_PCM_IN[29],Input,,,,,,,,
AD_PCM_IN[28],Input,,,,,,,,
AD_PCM_IN[27],Input,,,,,,,,
AD_PCM_IN[26],Input,,,,,,,,
AD_PCM_IN[25],Input,,,,,,,,
AD_PCM_IN[24],Input,,,,,,,,
AD_PCM_IN[23],Input,,,,,,,,
AD_PCM_IN[22],Input,,,,,,,,
AD_PCM_IN[21],Input,,,,,,,,
AD_PCM_IN[20],Input,,,,,,,,
AD_PCM_IN[19],Input,,,,,,,,
AD_PCM_IN[18],Input,,,,,,,,
AD_PCM_IN[17],Input,,,,,,,,
AD_PCM_IN[16],Input,,,,,,,,
AD_PCM_IN[15],Input,PIN_L6,1,B1_N2,3.3-V LVCMOS,,,,
AD_PCM_IN[14],Input,PIN_J5,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[13],Input,PIN_E4,8,B8_N2,3.3-V LVCMOS,,,,
AD_PCM_IN[12],Input,PIN_E3,1,B1_N0,3.3-V LVCMOS,,,,
AD_PCM_IN[11],Input,PIN_F3,1,B1_N0,3.3-V LVCMOS,,,,
AD_PCM_IN[10],Input,PIN_G3,1,B1_N0,3.3-V LVCMOS,,,,
AD_PCM_IN[9],Input,PIN_G2,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[8],Input,PIN_H3,1,B1_N0,3.3-V LVCMOS,,,,
AD_PCM_IN[7],Input,PIN_J3,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[6],Input,PIN_K4,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[5],Input,PIN_K3,1,B1_N1,3.3-V LVCMOS,,,,
